taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,market_value,assessment_level,assessed_value,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_market_value,log_assessed_value,log_outstanding_balance
Individual,Compostela,Davao De Oro,Davao De Oro,Pantukan,P. Fuentes,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,111,455833.31,0.2,91166.66,0.013,1185.17,2022,16,8,2,1,52.3,823.93,39.08,0,12.0,4.0,13.029884667203847,11.420455507911951,6.715298534249996
Individual,Compostela,Davao De Oro,Davao Del Sur,Malalag,Baybay,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,140,767399.84,0.2,153479.97,0.0125,1918.5,2023,17,8,1,1,51.1,957.5,52.93,0,6.0,2.0,13.550764551399551,11.941331864382617,6.865369562485699
Company,Magsaysay,Davao Del Sur,Davao Del Sur,City of Davao,Bucana,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,193,2384978.44,0.5,1192489.22,0.015,17887.34,2024,9,8,1,1,26.8,9583.58,71.26,0,3.0,1.0,14.684701061722349,13.99155430045314,9.167910836053334
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Sasa,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,120,835267.5,0.2,167053.5,0.0136,2271.93,2022,17,8,4,1,59.3,1838.42,5.0,1,12.0,4.0,13.635508509030885,12.026075385464582,7.5172055835202825
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gatungan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,148,1308874.87,0.2,261774.97,0.0132,3455.43,2024,4,3,1,0,17.8,469.12,81.28,0,9.0,3.0,14.084679212282504,12.475244340621055,6.152987981264653
Company,City of Davao,Davao Del Sur,Davao Occidental,Sarangani,Lipol,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,551,12141261.97,0.5,6070630.99,0.0147,89238.28,2023,18,8,2,1,38.7,48341.42,45.75,0,9.0,3.0,16.312120371957143,15.618973274584585,10.786064715064816
Individual,New Bataan,Davao De Oro,Davao De Oro,Pantukan,Magnaga,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 01B,94,947330.27,0.25,236832.57,0.0121,2865.67,2021,11,8,1,1,33.1,1511.29,78.97,0,9.0,3.0,13.76140412092507,12.375112937146953,7.321380337290211
Individual,San Isidro,Davao Del Norte,Davao Del Sur,City of Davao,Sumimao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,288,3490085.17,0.5,1745042.58,0.0131,22860.06,2022,7,6,1,1,50.7,9854.41,62.27,0,6.0,2.0,15.065436984418216,14.372290087518849,9.195775821968512
Individual,Nabunturan,Davao De Oro,Davao Del Sur,City of Davao,Fatima (Benowang),Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14A,59,757347.72,0.25,189336.93,0.0118,2234.18,2022,9,8,2,1,50.8,1513.52,35.95,1,3.0,1.0,13.537579086850092,12.151288686909483,7.322853836058539
Company,City of Panabo,Davao Del Norte,Davao Oriental,Governor Generoso,Pundaguitan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,520,6065692.34,0.5,3032846.17,0.0158,47918.97,2024,8,8,1,1,37.2,20687.46,68.84,0,9.0,3.0,15.618159412045749,14.925012396347405,9.937331335876584
Company,City of Davao,Davao Del Sur,Davao De Oro,Montevista,New Calape,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,201,1496802.56,0.2,299360.51,0.011,3292.97,2021,13,8,2,1,38.7,1704.67,42.94,0,6.0,2.0,14.218842432346458,12.609407185589262,7.441713274405153
Individual,San Isidro,Davao Oriental,Davao Del Sur,City of Davao,Matina Biao,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3569,8580127.32,0.4,3432050.93,0.0128,43930.25,2021,12,8,2,1,34.3,23549.71,33.94,0,9.0,3.0,15.964959427063265,15.048668870594398,10.066911247610062
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Padada,N C Ordaneza District (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,270,1795686.18,0.2,359137.24,0.013,4668.78,2023,20,8,2,1,28.0,3047.2,70.24,0,12.0,4.0,14.400898336727343,12.791462662988012,8.022306531451749
Individual,City of Davao,Davao Del Sur,Davao De Oro,Maco,Hijo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,236,1162871.54,0.2,232574.31,0.014,3256.04,2021,15,8,2,1,41.6,1828.51,38.09,0,,,13.966403829621992,12.356969365539236,7.511803450418633
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tigatto,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,424,6239781.44,0.5,3119890.72,0.015,46798.36,2024,5,6,1,0,19.6,7123.92,83.48,0,,,15.646455874353183,14.953308854055223,8.871353777003641
Individual,Asuncion,Davao Del Norte,Davao Del Norte,Island Garden City of Samal,Santo Niño,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,237,1111433.19,0.2,222286.64,0.0134,2978.64,2022,6,5,1,0,14.0,632.31,79.96,0,9.0,3.0,13.921161802356407,12.311727497866709,6.450960033702472
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Vicente Hizon Sr.,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,64,305794.76,0.2,61158.95,0.0109,666.63,2021,15,8,2,1,44.5,472.77,39.2,0,,,12.630672707109555,11.02124784251487,6.1607219718643895
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 11-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,299,1376348.23,0.2,275269.65,0.0131,3606.03,2024,6,6,1,0,12.3,466.56,89.26,0,12.0,4.0,14.134945066145526,12.525510074477495,6.14752768273957
Individual,San Isidro,Davao Del Norte,Davao De Oro,Nabunturan,Mainit,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4519,4388005.14,0.4,1755202.06,0.0118,20711.38,2021,10,8,1,1,35.8,11485.42,62.04,0,3.0,1.0,15.294385499647017,14.37809511189265,9.348920747010283
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Tungakalan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,380,9699354.7,0.5,4849677.35,0.0135,65470.64,2023,7,7,2,1,38.7,34537.31,39.42,1,6.0,2.0,16.087570018587115,15.394422941126797,10.44982442172539
Individual,Santo Tomas,Davao Del Norte,Davao Del Sur,City of Davao,Langub,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,270,2631205.56,0.2,526241.11,0.0137,7209.5,2024,6,7,3,1,52.0,5065.06,44.81,1,9.0,3.0,14.782953067012892,13.173516670992225,8.530318674155126
Individual,Manay,Davao Oriental,Davao Del Sur,City of Davao,Binugao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,256,1353269.74,0.2,270653.95,0.0107,2896.0,2021,7,8,2,1,52.8,1558.99,43.29,0,9.0,3.0,14.118034990608658,12.508600041361404,7.352434689966627
Individual,Don Marcelino,Davao Occidental,Davao Del Sur,City of Davao,Kap. Tomas Monteverde Sr.,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,499,1595335.8,0.2,319067.16,0.0119,3796.9,2021,1,2,1,1,48.6,2368.64,54.3,1,6.0,2.0,14.282595431784582,12.673160026654886,7.7704933238572185
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Magsaysay,Malongon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 17A,114,1395974.23,0.25,348993.56,0.0123,4292.62,2021,11,8,2,1,43.8,2470.64,48.2,0,12.0,4.0,14.149103818594028,12.762811613670529,7.812637176904387
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,Matanao,Kauswagan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2293,4828001.68,0.4,1931200.67,0.0107,20663.85,2023,14,8,1,0,8.9,5813.69,82.6,0,12.0,4.0,15.389943416294683,14.473652994072337,8.668142753127587
Individual,Monkayo,Davao De Oro,Davao Del Norte,City of Panabo,Kauswagan,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,419,974810.83,0.2,194962.17,0.0112,2183.58,2021,13,8,4,1,48.0,1954.09,31.11,1,,,13.789999736482283,12.180565947912488,7.578191507165478
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Malamba,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 21B,104,1569124.63,0.25,392281.16,0.0152,5962.67,2022,18,8,2,1,38.5,3735.82,66.36,0,6.0,2.0,14.266029098618079,12.879736655762128,8.225990261346558
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 2-A (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,161,2625319.82,0.5,1312659.91,0.0134,17589.64,2021,1,2,2,1,61.0,11791.27,26.42,1,6.0,2.0,14.780713663682812,14.087566864028622,9.375199511046228
Individual,Matanao,Davao Del Sur,Davao Del Norte,Carmen,Tuganay,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,307,649508.96,0.2,129901.79,0.0106,1376.96,2023,5,6,1,0,12.5,234.08,83.86,0,12.0,4.0,13.383973449848192,11.774541680488086,5.45992588174445
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Norte,Island Garden City of Samal,Mambago-A,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,180,1625441.04,0.2,325088.21,0.0116,3771.02,2023,3,2,1,1,51.7,2207.88,46.01,1,12.0,4.0,14.301290361369372,12.691854915953446,7.700240878721379
Company,Braulio E. Dujali,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 39-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,171,1066229.51,0.2,213245.9,0.0111,2367.03,2023,6,5,3,1,69.7,1487.68,6.07,1,9.0,3.0,13.879640098605723,12.270205928319776,7.305645100252565
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,Dulangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,74,489256.1,0.2,97851.22,0.0113,1105.72,2022,11,8,4,2,97.8,1291.09,5.0,1,,,13.1006433971612,11.491213660354289,7.164016341359165
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 15-B (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,876,2356918.96,0.2,471383.79,0.0117,5515.19,2021,13,8,1,1,29.5,2791.75,60.95,0,6.0,2.0,14.672866222919945,13.063430003371769,7.934782052450958
Individual,City of Digos,Davao Del Sur,Davao Del Sur,Padada,Northern Paligue,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3309,6908676.76,0.4,2763470.7,0.0126,34819.73,2022,8,8,3,2,70.8,33785.47,5.0,1,3.0,1.0,15.748288825769533,14.831998309566146,10.427815705473348
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Magugpo East,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,498,3541568.45,0.5,1770784.23,0.0193,34176.14,2022,15,8,2,1,56.9,18836.65,44.32,0,9.0,3.0,15.080080534318139,14.386933638942452,9.843612805743128
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Malabog,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,2110,24173449.62,0.5,12086724.81,0.0173,209100.34,2023,18,8,4,1,76.2,169304.48,5.0,1,6.0,2.0,17.000765507073968,16.30761836788172,12.039459936173866
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Leon Garcia Sr.,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,112,2307784.63,0.5,1153892.31,0.0154,17769.94,2023,17,8,1,0,11.6,4056.64,82.47,0,12.0,4.0,14.651799021013899,13.958652269436513,8.308356802798427
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lizada,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,84,787049.2,0.2,157409.84,0.0119,1873.18,2024,12,8,2,1,32.2,1060.7,58.72,0,9.0,3.0,13.576047311896398,11.966614481717324,6.967626676019528
Individual,Lupon,Davao Oriental,Davao Oriental,Manay,Guza,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,205,1048491.73,0.2,209698.35,0.0125,2621.23,2021,14,8,2,1,39.3,1900.18,64.0,0,12.0,4.0,13.862864195585242,12.253430117219018,7.550230025012736
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Sulop,Balasinon,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,167,636036.88,0.2,127207.38,0.013,1653.7,2024,4,4,2,1,68.7,1174.9,23.29,1,3.0,1.0,13.363013400297076,11.753581808221279,7.06978909082937
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tamayong,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,219,1517519.25,0.2,303503.85,0.0114,3459.94,2024,4,5,2,1,49.5,1752.31,41.46,1,6.0,2.0,14.232588146143065,12.62315286958465,7.469260708990303
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Marapangi,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,145,1370399.44,0.2,274079.89,0.0113,3097.1,2024,17,8,4,1,74.9,2345.97,12.95,1,12.0,4.0,14.130613547066135,12.521178560779761,7.7608804134940845
Company,City of Davao,Davao Del Sur,Davao De Oro,New Bataan,San Roque,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,214,792912.13,0.2,158582.43,0.0127,2014.0,2021,10,8,2,1,58.9,1417.91,50.65,0,12.0,4.0,13.583468948588639,11.974036106053948,7.25764425020145
Company,City of Davao,Davao Del Sur,Davao Del Sur,Matanao,Langa-an,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,272,1072659.07,0.2,214531.81,0.0113,2424.21,2021,14,8,3,2,90.1,2542.52,6.76,1,3.0,1.0,13.885652168064972,12.276217966025923,7.841304227412562
Individual,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Don Mariano Marcos,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,205,1655039.45,0.2,331007.89,0.014,4634.11,2021,2,2,2,1,56.3,2837.76,21.56,1,3.0,1.0,14.319336007582235,12.709900512004573,7.951122616090799
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Ubalde,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,581,1293188.96,0.4,517275.58,0.0121,6259.03,2024,5,5,1,1,36.9,3090.34,71.05,0,12.0,4.0,14.0726225611163,13.156332981431063,8.036359932847716
Company,City of Davao,Davao Del Sur,Davao Del Sur,Padada,Northern Paligue,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1912,11311944.15,0.5,5655972.08,0.0183,103504.29,2022,11,8,2,1,41.3,67230.38,53.61,0,3.0,1.0,16.241369818273636,15.548222726999835,11.115895381803062
Company,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Subasta,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,507,9996792.85,0.5,4998396.42,0.0174,86972.1,2021,7,6,3,2,67.9,88411.7,8.4,1,9.0,3.0,16.11777498455034,15.424627903022143,11.389770903465255
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Santo Niño,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,588,15223235.21,0.5,7611617.61,0.0176,133964.47,2022,12,8,2,1,56.8,68829.87,42.53,0,12.0,4.0,16.53833351657344,15.845186402359442,11.139407615149809
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 4-A (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,553,10057287.19,0.5,5028643.59,0.0161,80961.16,2021,14,8,1,0,19.5,20696.59,90.15,0,9.0,3.0,16.123808122678774,15.430661040554902,9.937772547354758
Individual,City of Panabo,Davao Del Norte,Davao De Oro,Laak,Imelda,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,265,1985185.44,0.2,397037.09,0.0105,4168.89,2022,4,3,1,1,34.2,2079.97,59.31,0,9.0,3.0,14.501223392126054,12.891787499651324,7.640589410143637
Individual,Island Garden City of Samal,Davao Del Norte,Davao De Oro,Maco,Dumlan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3678,3815865.24,0.4,1526346.1,0.0108,16484.54,2023,6,6,1,0,18.1,3629.83,86.68,0,12.0,4.0,15.154678258525063,14.238387922367005,8.197216551260178
Company,Mawab,Davao De Oro,Davao Del Sur,City of Davao,Pampanga,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,961,12154969.65,0.5,6077484.83,0.0185,112433.47,2021,10,8,1,1,27.2,45204.23,80.95,0,,,16.313248751085265,15.620101653618896,10.718968067091275
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Guihing,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,250,4517956.33,0.5,2258978.17,0.0142,32077.49,2023,16,8,2,1,37.7,21405.6,66.43,0,9.0,3.0,15.323570531521042,14.630423574513427,9.971454564675934
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Subasta,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,281,2648147.65,0.2,529629.53,0.0123,6514.44,2023,15,8,2,1,42.2,4418.44,68.83,0,12.0,4.0,14.78937133117038,13.17993492922436,8.393768270212442
Company,City of Davao,Davao Del Sur,Davao Occidental,Sarangani,Gomtago,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1212,14694619.39,0.5,7347309.7,0.018,132251.57,2024,6,5,2,0,11.7,27169.27,72.72,0,6.0,2.0,16.502992024905367,15.809844913078056,10.209878639802007
Individual,Cateel,Davao Oriental,Davao Del Sur,City of Davao,Saloy,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1693,3156617.37,0.4,1262646.95,0.0101,12752.73,2023,8,8,2,1,38.0,7272.29,61.42,0,3.0,1.0,14.965011876482704,14.048721621384473,8.891964012864356
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Poblacion,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,131,983979.49,0.2,196795.9,0.0114,2243.47,2021,1,2,1,0,14.2,328.28,80.09,0,9.0,3.0,13.799361348602055,12.189927511443706,5.796908452645685
Individual,Asuncion,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 16-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,166,1083808.07,0.2,216761.61,0.0118,2557.79,2021,11,8,1,0,13.6,594.91,78.78,0,6.0,2.0,13.895992310781846,12.286558070574527,6.390089648951279
Individual,Magsaysay,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Caliclic,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3839,6113420.87,0.4,2445368.35,0.0101,24698.22,2024,9,8,2,0,18.9,5251.25,72.63,0,,,15.625997218571412,14.709706732876867,8.566411835203736
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Atan-awe,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,205,1658152.02,0.2,331630.4,0.0139,4609.66,2023,17,8,2,0,17.0,1176.78,72.47,0,6.0,2.0,14.321214902336713,12.711779390160718,7.071386589554612
Individual,City of Davao,Davao Del Sur,Davao Del Norte,New Corella,Limba-an,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4797,7182108.23,0.4,2872843.29,0.0111,31888.56,2023,14,8,1,0,15.2,10753.99,83.38,0,12.0,4.0,15.787103662507985,14.870813138789929,9.283125111901304
Individual,Pantukan,Davao De Oro,Davao Oriental,Manay,Holy Cross,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,168,1295403.47,0.2,259080.69,0.0105,2720.35,2022,14,8,2,0,19.0,629.5,86.3,0,6.0,2.0,14.074333536396608,12.464898696357253,6.446513155404975
Company,Mabini,Davao De Oro,Davao Del Sur,City of Davao,Agdao (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,175,3853599.35,0.5,1926799.68,0.0152,29287.36,2024,15,8,3,1,40.7,23797.8,38.9,1,9.0,3.0,15.164518425122308,14.471371506654894,10.077390438220359
Individual,City of Davao,Davao Del Sur,Davao De Oro,Pantukan,Matiao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,258,1051811.05,0.2,210362.21,0.0118,2482.27,2021,7,8,1,0,20.3,814.66,73.37,0,9.0,3.0,13.86602499662243,12.256590887141902,6.703997601467765
Company,Island Garden City of Samal,Davao Del Norte,Davao Occidental,Santa Maria,  San Agustin ,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,2005,22632186.06,0.5,11316093.03,0.0177,200294.85,2024,14,8,1,1,39.2,108495.68,69.6,0,6.0,2.0,16.93488365721747,16.241736520842384,11.594474852416148
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Bansalan,New Clarin,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,745,698539.18,0.4,279415.67,0.0106,2961.81,2021,9,8,2,1,36.4,1847.13,62.23,0,9.0,3.0,13.456747979288892,12.54045938758998,7.52192959604779
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Sumimao,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,906,4187932.67,0.4,1675173.07,0.0162,27137.8,2021,17,8,3,1,50.3,18389.08,29.85,1,,,15.247718012738257,14.331427640229807,9.819566667779226
Individual,Caraga,Davao Oriental,Davao Del Sur,City of Davao,Barangay 19-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,239,2356249.7,0.2,471249.94,0.0127,5984.87,2024,20,8,1,1,30.2,3390.77,63.08,0,9.0,3.0,14.672582227260643,13.063146012437329,8.129107188009048
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Callawa,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1041,1355323.77,0.4,542129.51,0.0118,6397.13,2022,5,5,2,1,78.0,4701.5,15.84,1,3.0,1.0,14.119551666233466,13.203262044793648,8.455849561175185
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,New Malitbog,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4607,9317087.4,0.4,3726834.96,0.01,37268.35,2022,14,8,3,0,28.7,11537.67,47.36,0,9.0,3.0,16.04736073442018,15.131070163540512,9.353459282120323
Individual,Cateel,Davao Oriental,Davao Del Sur,City of Davao,Biao Joaquin,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,114,1064916.39,0.2,212983.28,0.0124,2640.99,2021,10,8,2,0,25.9,563.41,53.19,0,3.0,1.0,13.878407786041986,12.268973639151099,6.335780937752244
Individual,City of Davao,Davao Del Sur,Davao De Oro,Laak,El Katipunan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2340,4995813.66,0.4,1998325.46,0.01,19983.25,2022,10,8,2,1,34.2,11923.9,66.54,0,6.0,2.0,15.424111051861328,14.507820618236783,9.386383929977146
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Tungakalan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,380,9782269.74,0.5,4891134.87,0.0145,70921.46,2022,6,6,2,1,39.7,44694.79,36.13,1,,,16.09608219706502,15.402935118730824,10.70763459272093
Company,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Buda,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,142,1257537.22,0.2,251507.44,0.0128,3219.3,2024,7,6,3,1,60.7,2021.58,15.35,1,12.0,4.0,14.044666574132325,12.435231826606964,7.612129203156549
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,San Miguel,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,237,2003168.11,0.2,400633.62,0.014,5608.87,2024,19,8,2,1,49.1,3759.02,47.64,0,9.0,3.0,14.510241039441546,12.900805118849275,8.23217955551873
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Santa Cruz,Zone IV (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,623,6220304.28,0.5,3110152.14,0.0171,53183.6,2024,16,8,5,2,107.7,64783.59,5.0,1,6.0,2.0,15.643329543896812,14.950182524100667,11.078823045417431
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bato,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,382,8593849.54,0.5,4296924.77,0.0183,78633.72,2022,3,3,1,0,14.9,23585.89,88.34,0,12.0,4.0,15.966557451962684,15.273410387765006,10.068446328187127
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Riverside,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,276,2792418.45,0.2,558483.69,0.0106,5919.93,2021,1,1,1,1,31.7,3762.02,53.37,1,9.0,3.0,14.842418964388605,13.232982484403035,8.232977105487631
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Saloy,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 22C,92,1030309.95,0.25,257577.49,0.0135,3477.3,2021,12,8,3,2,73.5,3643.3,5.0,1,3.0,1.0,13.845371207849118,12.459079768173092,8.200919582104222
Company,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Limbahan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,335,2734181.9,0.45,1230381.85,0.0152,18701.8,2023,15,8,1,0,20.6,2568.83,85.88,0,9.0,3.0,14.821343192345923,14.022835939079807,7.851595027841477
Individual,Banaybanay,Davao Oriental,Davao Del Norte,Asuncion,Buan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,264,1798127.69,0.2,359625.54,0.0129,4639.17,2024,7,6,3,1,40.4,2855.29,35.99,1,9.0,3.0,14.402257065423488,12.792821383083123,7.957278858920822
Company,Magsaysay,Davao Del Sur,Davao Del Sur,City of Davao,Baganihan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,267,1633661.35,0.2,326732.27,0.0113,3692.07,2023,15,8,2,0,14.9,891.02,77.47,0,9.0,3.0,14.30633489290219,12.696899428951463,6.793488553853314
Individual,City of Panabo,Davao Del Norte,Davao De Oro,Maco,Limbo,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10A,33,456015.54,0.25,114003.88,0.0141,1607.45,2022,15,8,3,1,53.7,1082.11,33.51,1,,,13.030284359768537,11.643996533477981,6.987591811556895
Individual,City of Davao,Davao Del Sur,Davao Occidental,Jose Abad Santos,San Isidro,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 23A,82,1267110.48,0.25,316777.62,0.0152,4815.02,2024,4,4,2,1,54.0,2788.78,43.37,1,12.0,4.0,14.05225044280436,12.665958449271296,7.933718018659752
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,Lungag,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,74,473839.8,0.2,94767.96,0.0106,1004.54,2022,8,7,2,1,47.6,564.58,55.1,0,12.0,4.0,13.068626679283037,11.459197208467126,6.337851753278234
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Subasta,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,281,2513139.05,0.2,502627.81,0.0105,5277.59,2022,14,8,1,0,20.3,807.8,91.24,0,9.0,3.0,14.737043545175803,13.127607224374774,6.695551667706262
